file;general;race;class;anim;deathvar;dialog;origin;level;sex;allegiance;name;summon;MonsterId;ValidatedMonsterId
9XE7;HUMANOID;HUMAN;SPECTRE;RAKSHASA;9XE7;9XENEMY;INNERSHADE;1;;;The Dream;;;
9XEA;UNDEAD;SHADOW;FIGHTER;SHADOW_LARGE;9XEA;9XPIECE;INNERSHADE;11;;;Piece of Nightmare;;GreaterShadow;false
9XEB;UNDEAD;SHADOW;FIGHTER;SHADOW_LARGE;9XEB;9XPIECE;INNERSHADE;11;;;Piece of Nightmare;;GreaterShadow;false
9XEC;UNDEAD;SHADOW;FIGHTER;SHADOW_LARGE;9XEC;9XPIECE;INNERSHADE;11;;;Piece of Nightmare;;GreaterShadow;false
9XED;UNDEAD;SHADOW;FIGHTER;SHADOW_LARGE;9XED;9XPIECE;INNERSHADE;11;;;Piece of Nightmare;;GreaterShadow;false
9XEE;UNDEAD;SHADOW;FIGHTER;SHADOW_LARGE;9XEE;9XPIECE;INNERSHADE;11;;;Piece of Nightmare;;GreaterShadow;false
9XGENIE;GIANTHUMANOID;GENIE;GENIE_DAO;DJINNI;9XGENIE;9XGENIE;INNERSHADE;5;;;Genie;;;
A#FERA01;ANIMAL;DOG;DOG_WILD;DOG_WILD;;;ub;1;;CONTROLLED;Wild Dog;true;WildDog;false
A#FERA02;ANIMAL;WOLF;WOLF;WOLF;None;;ub;3;;CONTROLLED;Wolf;true;Wolf;false
A#FERA03;ANIMAL;WOLF;WOLF_DIRE;WOLF_DIRE;None;;ub;4;;CONTROLLED;Dire Wolf;true;DireWolf;false
A#FERA04;ANIMAL;WOLF;WOLF_DIRE;WOLF_DIRE;None;;ub;4;;CONTROLLED;Pack Leader;true;DireWolf;false
A7!GLAD1;GIANTHUMANOID;GOLEM;GOLEM_IRON;A7!GOLEM_IRON_MINI;a7!glad1;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Lesser Adamantite Golem;;IronGolem;false
A7!GLAD1;GIANTHUMANOID;GOLEM;GOLEM_IRON;A7!GOLEM_IRON_MINI;a7!glad1;a7!cmd;A7-GolemConstruction;18;;;Lesser Adamantite Golem;;IronGolem;false
A7!GLAD2;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!glad2;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Adamantite Golem;;IronGolem;false
A7!GLAD2;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!glad2;a7!cmd;A7-GolemConstruction;18;;;Adamantite Golem;;IronGolem;false
A7!GLAD3;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!glad3;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Greater Adamantite Golem;;IronGolem;false
A7!GLAD3;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!glad3;a7!cmd;A7-GolemConstruction;18;;;Greater Adamantite Golem;;IronGolem;false
A7!GLAD4;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!glad4;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Perfect Adamantite Golem;;IronGolem;false
A7!GLAD4;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!glad4;a7!cmd;A7-GolemConstruction;18;;;Perfect Adamantite Golem;;IronGolem;false
A7!GLBD;HUMANOID;GOLEM;SKELETON;A7!GOLEM_BONE_DOLL;a7!glbd;a7!cmd3;A7-GolemConstruction;6;;;Bone Doll;;;
A7!GLBO;GIANTHUMANOID;GOLEM;GOLEM_STONE;SKELETON_FIEND;a7!glbo;a7!cmd;A7-GOLEMCONSTRUCTION;14;;;Bone Golem;;BoneGolem;false
A7!GLBO;GIANTHUMANOID;GOLEM;GOLEM_STONE;SKELETON_FIEND;a7!glbo;a7!cmd;A7-GolemConstruction;14;;;Bone Golem;;BoneGolem;false
A7!GLBR;GIANTHUMANOID;GOLEM;GOLEM_CLAY;A7!GOLEM_BRAIN;a7!glbr;a7!cmd;A7-GOLEMCONSTRUCTION;12;;;Brain Golem;;ClayGolem;false
A7!GLBR;GIANTHUMANOID;GOLEM;GOLEM_CLAY;A7!GOLEM_BRAIN;a7!glbr;a7!cmd;A7-GolemConstruction;12;;;Brain Golem;;ClayGolem;false
A7!GLCL1;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_MINI;a7!glcl1;a7!cmd2;A7-GOLEMCONSTRUCTION;9;;;Lesser Clay Golem;;ClayGolem;false
A7!GLCL1;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_MINI;a7!glcl1;a7!cmd2;A7-GolemConstruction;9;;;Lesser Clay Golem;;ClayGolem;false
A7!GLCL2;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_CLAY;a7!glcl2;a7!cmd;A7-GOLEMCONSTRUCTION;9;;;Clay Golem;;ClayGolem;false
A7!GLCL2;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_CLAY;a7!glcl2;a7!cmd;A7-GolemConstruction;9;;;Clay Golem;;ClayGolem;false
A7!GLCL3;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_CLAY;a7!glcl3;a7!cmd;A7-GOLEMCONSTRUCTION;9;;;Greater Clay Golem;;ClayGolem;false
A7!GLCL3;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_CLAY;a7!glcl3;a7!cmd;A7-GolemConstruction;9;;;Greater Clay Golem;;ClayGolem;false
A7!GLCL4;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_CLAY;a7!glcl4;a7!cmd;A7-GOLEMCONSTRUCTION;9;;;Perfect Clay Golem;;ClayGolem;false
A7!GLCL4;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_CLAY;a7!glcl4;a7!cmd;A7-GolemConstruction;9;;;Perfect Clay Golem;;ClayGolem;false
A7!GLDO;HUMANOID;GOLEM;GOLEM_FLESH;A7!GOLEM_DOLL;a7!gldo;a7!cmd3;A7-GolemConstruction;6;;;Doll Golem;;FleshGolem;false
A7!GLFL1;GIANTHUMANOID;GOLEM;GOLEM_FLESH;A7!GOLEM_FLESH_PST_MINI;a7!glfl1;a7!cmd2;A7-GOLEMCONSTRUCTION;9;;;Lesser Flesh Golem;;FleshGolem;false
A7!GLFL1;GIANTHUMANOID;GOLEM;GOLEM_FLESH;A7!GOLEM_FLESH_PST_MINI;a7!glfl1;a7!cmd2;A7-GolemConstruction;9;;;Lesser Flesh Golem;;FleshGolem;false
A7!GLFL2;GIANTHUMANOID;GOLEM;GOLEM_FLESH;A7!GOLEM_FLESH_PST;a7!glfl2;a7!cmd;A7-GOLEMCONSTRUCTION;9;;;Flesh Golem;;FleshGolem;false
A7!GLFL2;GIANTHUMANOID;GOLEM;GOLEM_FLESH;A7!GOLEM_FLESH_PST;a7!glfl2;a7!cmd;A7-GolemConstruction;9;;;Flesh Golem;;FleshGolem;false
A7!GLFL3;GIANTHUMANOID;GOLEM;GOLEM_FLESH;A7!GOLEM_FLESH_PST;a7!glfl3;a7!cmd;A7-GOLEMCONSTRUCTION;9;;;Greater Flesh Golem;;FleshGolem;false
A7!GLFL3;GIANTHUMANOID;GOLEM;GOLEM_FLESH;A7!GOLEM_FLESH_PST;a7!glfl3;a7!cmd;A7-GolemConstruction;9;;;Greater Flesh Golem;;FleshGolem;false
A7!GLFL4;GIANTHUMANOID;GOLEM;GOLEM_FLESH;A7!GOLEM_FLESH_PST;a7!glfl4;a7!cmd;A7-GOLEMCONSTRUCTION;9;;;Perfect Flesh Golem;;FleshGolem;false
A7!GLFL4;GIANTHUMANOID;GOLEM;GOLEM_FLESH;A7!GOLEM_FLESH_PST;a7!glfl4;a7!cmd;A7-GolemConstruction;9;;;Perfect Flesh Golem;;FleshGolem;false
A7!GLIC;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_ICE;a7!glic;a7!cmd;A7-GOLEMCONSTRUCTION;20;;;Ice Golem;;IronGolem;false
A7!GLIC;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_ICE;a7!glic;a7!cmd;A7-GolemConstruction;20;;;Ice Golem;;IronGolem;false
A7!GLIR1;GIANTHUMANOID;GOLEM;GOLEM_IRON;A7!GOLEM_IRON_IWD_MINI;a7!glir1;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Lesser Iron Golem;;IronGolem;false
A7!GLIR1;GIANTHUMANOID;GOLEM;GOLEM_IRON;A7!GOLEM_IRON_IWD_MINI;a7!glir1;a7!cmd;A7-GolemConstruction;18;;;Lesser Iron Golem;;IronGolem;false
A7!GLIR2;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON_IWD;a7!glir2;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Iron Golem;;IronGolem;false
A7!GLIR2;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON_IWD;a7!glir2;a7!cmd;A7-GolemConstruction;18;;;Iron Golem;;IronGolem;false
A7!GLIR3;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON_IWD;a7!glir3;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Greater Iron Golem;;IronGolem;false
A7!GLIR3;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON_IWD;a7!glir3;a7!cmd;A7-GolemConstruction;18;;;Greater Iron Golem;;IronGolem;false
A7!GLIR4;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON_IWD;a7!glir4;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Perfect Iron Golem;;IronGolem;false
A7!GLIR4;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON_IWD;a7!glir4;a7!cmd;A7-GolemConstruction;18;;;Perfect Iron Golem;;IronGolem;false
A7!GLLT;GIANTHUMANOID;GOLEM;GOLEM_CLAY;A7!GOLEM_LIGHTNING;a7!gllt;a7!cmd;A7-GOLEMCONSTRUCTION;10;;;Lightning Golem;;ClayGolem;false
A7!GLLT;GIANTHUMANOID;GOLEM;GOLEM_CLAY;A7!GOLEM_LIGHTNING;a7!gllt;a7!cmd;A7-GolemConstruction;10;;;Lightning Golem;;ClayGolem;false
A7!GLMA;GIANTHUMANOID;GOLEM;GOLEM_CLAY;ELEMENTAL_FIRE_PURPLE;a7!glma;a7!cmd;A7-GOLEMCONSTRUCTION;10;;;Magic Golem;;ClayGolem;false
A7!GLMA;GIANTHUMANOID;GOLEM;GOLEM_CLAY;ELEMENTAL_FIRE_PURPLE;a7!glma;a7!cmd;A7-GolemConstruction;10;;;Magic Golem;;ClayGolem;false
A7!GLMG;GIANTHUMANOID;GOLEM;GOLEM_FLESH;A7!GOLEM_MAGGOT;a7!glmg;a7!cmd2;A7-GOLEMCONSTRUCTION;9;;;Maggot Golem;;FleshGolem;false
A7!GLMG;GIANTHUMANOID;GOLEM;GOLEM_FLESH;A7!GOLEM_MAGGOT;a7!glmg;a7!cmd2;A7-GolemConstruction;9;;;Maggot Golem;;FleshGolem;false
A7!GLMI1;GIANTHUMANOID;GOLEM;GOLEM_IRON;A7!GOLEM_IRON_MINI;a7!glmi1;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Lesser Mithral Golem;;IronGolem;false
A7!GLMI1;GIANTHUMANOID;GOLEM;GOLEM_IRON;A7!GOLEM_IRON_MINI;a7!glmi1;a7!cmd;A7-GolemConstruction;18;;;Lesser Mithral Golem;;IronGolem;false
A7!GLMI2;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!glmi2;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Mithral Golem;;IronGolem;false
A7!GLMI2;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!glmi2;a7!cmd;A7-GolemConstruction;18;;;Mithral Golem;;IronGolem;false
A7!GLMI3;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!glmi3;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Greater Mithral Golem;;IronGolem;false
A7!GLMI3;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!glmi3;a7!cmd;A7-GolemConstruction;18;;;Greater Mithral Golem;;IronGolem;false
A7!GLMI4;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!glmi4;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Perfect Mithral Golem;;IronGolem;false
A7!GLMI4;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!glmi4;a7!cmd;A7-GolemConstruction;18;;;Perfect Mithral Golem;;IronGolem;false
A7!GLRU;GIANTHUMANOID;GOLEM;GOLEM_IRON;A7!GOLEM_RUBY;a7!glru;a7!cmd;A7-GOLEMCONSTRUCTION;20;;;Ruby Golem;;IronGolem;false
A7!GLRU;GIANTHUMANOID;GOLEM;GOLEM_IRON;A7!GOLEM_RUBY;a7!glru;a7!cmd;A7-GolemConstruction;20;;;Ruby Golem;;IronGolem;false
A7!GLST1;GIANTHUMANOID;GOLEM;GOLEM_STONE;GOLEM_MINI;a7!glst1;a7!cmd2;A7-GOLEMCONSTRUCTION;14;;;Lesser Stone Golem;;StoneGolem;false
A7!GLST1;GIANTHUMANOID;GOLEM;GOLEM_STONE;GOLEM_MINI;a7!glst1;a7!cmd2;A7-GolemConstruction;14;;;Lesser Stone Golem;;StoneGolem;false
A7!GLST2;GIANTHUMANOID;GOLEM;GOLEM_STONE;GOLEM_CLAY;a7!glst2;a7!cmd;A7-GOLEMCONSTRUCTION;14;;;Stone Golem;;StoneGolem;false
A7!GLST2;GIANTHUMANOID;GOLEM;GOLEM_STONE;GOLEM_CLAY;a7!glst2;a7!cmd;A7-GolemConstruction;14;;;Stone Golem;;StoneGolem;false
A7!GLST3;GIANTHUMANOID;GOLEM;GOLEM_STONE;GOLEM_CLAY;a7!glst3;a7!cmd;A7-GOLEMCONSTRUCTION;14;;;Greater Stone Golem;;StoneGolem;false
A7!GLST3;GIANTHUMANOID;GOLEM;GOLEM_STONE;GOLEM_CLAY;a7!glst3;a7!cmd;A7-GolemConstruction;14;;;Greater Stone Golem;;StoneGolem;false
A7!GLST4;GIANTHUMANOID;GOLEM;GOLEM_STONE;GOLEM_CLAY;a7!glst4;a7!cmd;A7-GOLEMCONSTRUCTION;14;;;Perfect Stone Golem;;StoneGolem;false
A7!GLST4;GIANTHUMANOID;GOLEM;GOLEM_STONE;GOLEM_CLAY;a7!glst4;a7!cmd;A7-GolemConstruction;14;;;Perfect Stone Golem;;StoneGolem;false
A7!GSAD1;GIANTHUMANOID;GOLEM;GOLEM_IRON;A7!GOLEM_IRON_MINI;a7!glad1;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Lesser Adamantite Golem;;IronGolem;false
A7!GSAD1;GIANTHUMANOID;GOLEM;GOLEM_IRON;A7!GOLEM_IRON_MINI;a7!glad1;a7!cmd;A7-GolemConstruction;18;;;Lesser Adamantite Golem;;IronGolem;false
A7!GSAD2;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!glad2;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Adamantite Golem;;IronGolem;false
A7!GSAD2;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!glad2;a7!cmd;A7-GolemConstruction;18;;;Adamantite Golem;;IronGolem;false
A7!GSCL1;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_MINI;a7!glcl1;a7!cmd2;A7-GOLEMCONSTRUCTION;9;;;Lesser Clay Golem;;ClayGolem;false
A7!GSCL1;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_MINI;a7!glcl1;a7!cmd2;A7-GolemConstruction;9;;;Lesser Clay Golem;;ClayGolem;false
A7!GSCL2;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_CLAY;a7!glcl2;a7!cmd;A7-GOLEMCONSTRUCTION;9;;;Clay Golem;;ClayGolem;false
A7!GSCL2;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_CLAY;a7!glcl2;a7!cmd;A7-GolemConstruction;9;;;Clay Golem;;ClayGolem;false
A7!GSFL1;GIANTHUMANOID;GOLEM;GOLEM_FLESH;A7!GOLEM_FLESH_PST_MINI;a7!glfl1;a7!cmd2;A7-GOLEMCONSTRUCTION;9;;;Lesser Flesh Golem;;FleshGolem;false
A7!GSFL1;GIANTHUMANOID;GOLEM;GOLEM_FLESH;A7!GOLEM_FLESH_PST_MINI;a7!glfl1;a7!cmd2;A7-GolemConstruction;9;;;Lesser Flesh Golem;;FleshGolem;false
A7!GSFL2;GIANTHUMANOID;GOLEM;GOLEM_FLESH;A7!GOLEM_FLESH_PST;a7!glfl2;a7!cmd;A7-GOLEMCONSTRUCTION;9;;;Flesh Golem;;FleshGolem;false
A7!GSFL2;GIANTHUMANOID;GOLEM;GOLEM_FLESH;A7!GOLEM_FLESH_PST;a7!glfl2;a7!cmd;A7-GolemConstruction;9;;;Flesh Golem;;FleshGolem;false
A7!GSIR1;GIANTHUMANOID;GOLEM;GOLEM_IRON;A7!GOLEM_IRON_IWD_MINI;a7!glir1;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Lesser Iron Golem;;IronGolem;false
A7!GSIR1;GIANTHUMANOID;GOLEM;GOLEM_IRON;A7!GOLEM_IRON_IWD_MINI;a7!glir1;a7!cmd;A7-GolemConstruction;18;;;Lesser Iron Golem;;IronGolem;false
A7!GSIR2;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON_IWD;a7!glir2;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Iron Golem;;IronGolem;false
A7!GSIR2;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON_IWD;a7!glir2;a7!cmd;A7-GolemConstruction;18;;;Iron Golem;;IronGolem;false
A7!GSMI1;GIANTHUMANOID;GOLEM;GOLEM_IRON;A7!GOLEM_IRON_MINI;a7!glmi1;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Lesser Mithral Golem;;IronGolem;false
A7!GSMI1;GIANTHUMANOID;GOLEM;GOLEM_IRON;A7!GOLEM_IRON_MINI;a7!glmi1;a7!cmd;A7-GolemConstruction;18;;;Lesser Mithral Golem;;IronGolem;false
A7!GSMI2;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!glmi2;a7!cmd;A7-GOLEMCONSTRUCTION;18;;;Mithral Golem;;IronGolem;false
A7!GSMI2;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!glmi2;a7!cmd;A7-GolemConstruction;18;;;Mithral Golem;;IronGolem;false
A7!GSST1;GIANTHUMANOID;GOLEM;GOLEM_STONE;GOLEM_MINI;a7!glst1;a7!cmd2;A7-GOLEMCONSTRUCTION;14;;;Lesser Stone Golem;;StoneGolem;false
A7!GSST1;GIANTHUMANOID;GOLEM;GOLEM_STONE;GOLEM_MINI;a7!glst1;a7!cmd2;A7-GolemConstruction;14;;;Lesser Stone Golem;;StoneGolem;false
A7!GSST2;GIANTHUMANOID;GOLEM;GOLEM_STONE;GOLEM_CLAY;a7!glst2;a7!cmd;A7-GOLEMCONSTRUCTION;14;;;Stone Golem;;StoneGolem;false
A7!GSST2;GIANTHUMANOID;GOLEM;GOLEM_STONE;GOLEM_CLAY;a7!glst2;a7!cmd;A7-GolemConstruction;14;;;Stone Golem;;StoneGolem;false
A7!GXAD1;GIANTHUMANOID;GOLEM;GOLEM_IRON;A7!GOLEM_IRON_MINI;a7!gxad1;;A7-GOLEMCONSTRUCTION;18;;;Lesser Adamantite Golem;;IronGolem;false
A7!GXAD1;GIANTHUMANOID;GOLEM;GOLEM_IRON;A7!GOLEM_IRON_MINI;a7!gxad1;;A7-GolemConstruction;18;;;Lesser Adamantite Golem;;IronGolem;false
A7!GXAD2;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!gxad2;;A7-GOLEMCONSTRUCTION;18;;;Adamantite Golem;;IronGolem;false
A7!GXAD2;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!gxad2;;A7-GolemConstruction;18;;;Adamantite Golem;;IronGolem;false
A7!GXAD3;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!gxad3;;A7-GOLEMCONSTRUCTION;18;;;Greater Adamantite Golem;;IronGolem;false
A7!GXAD3;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!gxad3;;A7-GolemConstruction;18;;;Greater Adamantite Golem;;IronGolem;false
A7!GXAD4;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!gxad4;;A7-GOLEMCONSTRUCTION;18;;;Perfect Adamantite Golem;;IronGolem;false
A7!GXAD4;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;a7!gxad4;;A7-GolemConstruction;18;;;Perfect Adamantite Golem;;IronGolem;false
A7!GXBD;HUMANOID;GOLEM;SKELETON;A7!GOLEM_BONE_DOLL;a7!gxbd;a7!cmdx;A7-GolemConstruction;6;;;Golem Servant;;;
A7!GXBO;GIANTHUMANOID;GOLEM;GOLEM_STONE;SKELETON_FIEND;a7!gxbo;;A7-GOLEMCONSTRUCTION;14;;;Bone Golem;;BoneGolem;false
A7!GXBO;GIANTHUMANOID;GOLEM;GOLEM_STONE;SKELETON_FIEND;a7!gxbo;;A7-GolemConstruction;14;;;Bone Golem;;BoneGolem;false
A7!GXBR;GIANTHUMANOID;GOLEM;GOLEM_CLAY;A7!GOLEM_BRAIN;a7!gxbr;;A7-GOLEMCONSTRUCTION;12;;;Brain Golem;;ClayGolem;false
A7!GXBR;GIANTHUMANOID;GOLEM;GOLEM_CLAY;A7!GOLEM_BRAIN;a7!gxbr;;A7-GolemConstruction;12;;;Brain Golem;;ClayGolem;false
A7!GXCL1;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_MINI;a7!gxcl1;;A7-GOLEMCONSTRUCTION;9;;;Lesser Clay Golem;;ClayGolem;false
A7!GXCL1;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_MINI;a7!gxcl1;;A7-GolemConstruction;9;;;Lesser Clay Golem;;ClayGolem;false
A7!GXCL2;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_CLAY;a7!gxcl2;;A7-GOLEMCONSTRUCTION;9;;;Clay Golem;;ClayGolem;false
A7!GXCL2;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_CLAY;a7!gxcl2;;A7-GolemConstruction;9;;;Clay Golem;;ClayGolem;false
A7!GXCL3;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_CLAY;a7!gxcl3;;A7-GOLEMCONSTRUCTION;9;;;Greater Clay Golem;;ClayGolem;false
A7!GXCL3;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_CLAY;a7!gxcl3;;A7-GolemConstruction;9;;;Greater Clay Golem;;ClayGolem;false
A7!GXCL4;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_CLAY;a7!gxcl4;;A7-GOLEMCONSTRUCTION;9;;;Perfect Clay Golem;;ClayGolem;false
